estudiante_id,nombres,apellidos,emails,inscripciones,becas,bootcamp_id
49,nombre48,apellido48,nombre48.apellido48@python.com,2019-06-16,True,175
50,nombre49,apellido49,nombre49.apellido49@python.com,2019-05-25,True,154
51,nombre50,apellido50,nombre50.apellido50@python.com,2019-08-03,True,158
52,nombre51,apellido51,nombre51.apellido51@python.com,2019-07-23,True,191
53,nombre52,apellido52,nombre52.apellido52@python.com,2019-10-16,False,120
54,nombre53,apellido53,nombre53.apellido53@python.com,2019-06-02,True,84
55,nombre54,apellido54,nombre54.apellido54@python.com,2019-09-15,True,156
56,nombre55,apellido55,nombre55.apellido55@python.com,2019-03-22,False,186
57,nombre56,apellido56,nombre56.apellido56@python.com,2019-01-07,False,35
58,nombre57,apellido57,nombre57.apellido57@python.com,2019-05-29,True,174
59,nombre58,apellido58,nombre58.apellido58@python.com,2019-05-02,True,14
60,nombre59,apellido59,nombre59.apellido59@python.com,2019-07-17,True,48
61,nombre60,apellido60,nombre60.apellido60@python.com,2019-09-07,True,144
62,nombre61,apellido61,nombre61.apellido61@python.com,2019-01-16,True,14
63,nombre62,apellido62,nombre62.apellido62@python.com,2019-04-02,True,132
64,nombre63,apellido63,nombre63.apellido63@python.com,2019-05-14,True,37
65,nombre64,apellido64,nombre64.apellido64@python.com,2019-05-29,True,93
66,nombre65,apellido65,nombre65.apellido65@python.com,2019-12-21,False,106
67,nombre66,apellido66,nombre66.apellido66@python.com,2019-05-04,False,124
68,nombre67,apellido67,nombre67.apellido67@python.com,2019-10-01,False,145
69,nombre68,apellido68,nombre68.apellido68@python.com,2019-07-19,False,81
70,nombre69,apellido69,nombre69.apellido69@python.com,2019-12-04,False,71
71,nombre70,apellido70,nombre70.apellido70@python.com,2019-02-19,True,107
72,nombre71,apellido71,nombre71.apellido71@python.com,2019-01-29,True,99
73,nombre72,apellido72,nombre72.apellido72@python.com,2019-01-25,True,94
74,nombre73,apellido73,nombre73.apellido73@python.com,2019-02-16,True,38
75,nombre74,apellido74,nombre74.apellido74@python.com,2019-05-21,True,80
76,nombre75,apellido75,nombre75.apellido75@python.com,2019-11-28,False,76
77,nombre76,apellido76,nombre76.apellido76@python.com,2019-09-13,True,185
78,nombre77,apellido77,nombre77.apellido77@python.com,2019-05-21,True,14
79,nombre78,apellido78,nombre78.apellido78@python.com,2019-12-14,False,173
80,nombre79,apellido79,nombre79.apellido79@python.com,2019-03-17,False,89
81,nombre80,apellido80,nombre80.apellido80@python.com,2019-02-14,False,140
82,nombre81,apellido81,nombre81.apellido81@python.com,2019-09-05,True,174
83,nombre82,apellido82,nombre82.apellido82@python.com,2019-07-26,True,159
84,nombre83,apellido83,nombre83.apellido83@python.com,2019-06-13,True,88
85,nombre84,apellido84,nombre84.apellido84@python.com,2019-07-28,True,134
86,nombre85,apellido85,nombre85.apellido85@python.com,2019-05-22,True,69
87,nombre86,apellido86,nombre86.apellido86@python.com,2019-10-03,False,160
88,nombre87,apellido87,nombre87.apellido87@python.com,2019-12-20,False,134
89,nombre88,apellido88,nombre88.apellido88@python.com,2019-10-17,False,5
90,nombre89,apellido89,nombre89.apellido89@python.com,2019-01-30,True,78
91,nombre90,apellido90,nombre90.apellido90@python.com,2019-08-30,True,13
92,nombre91,apellido91,nombre91.apellido91@python.com,2019-09-01,True,136
93,nombre92,apellido92,nombre92.apellido92@python.com,2019-07-04,True,168
94,nombre93,apellido93,nombre93.apellido93@python.com,2019-11-06,True,192
95,nombre94,apellido94,nombre94.apellido94@python.com,2019-06-03,True,56
96,nombre95,apellido95,nombre95.apellido95@python.com,2019-02-21,False,141
97,nombre96,apellido96,nombre96.apellido96@python.com,2019-10-19,False,87
98,nombre97,apellido97,nombre97.apellido97@python.com,2019-08-31,True,19
99,nombre98,apellido98,nombre98.apellido98@python.com,2019-07-27,True,99
100,nombre99,apellido99,nombre99.apellido99@python.com,2019-02-25,True,168
101,nombre100,apellido100,nombre100.apellido100@python.com,2019-12-10,True,20
102,nombre101,apellido101,nombre101.apellido101@python.com,2019-04-23,True,116
103,nombre102,apellido102,nombre102.apellido102@python.com,2019-08-06,True,118
104,nombre103,apellido103,nombre103.apellido103@python.com,2019-11-11,False,51
105,nombre104,apellido104,nombre104.apellido104@python.com,2019-08-15,True,112
106,nombre105,apellido105,nombre105.apellido105@python.com,2019-11-05,False,89
107,nombre106,apellido106,nombre106.apellido106@python.com,2019-08-14,True,156
108,nombre107,apellido107,nombre107.apellido107@python.com,2019-07-05,True,129
109,nombre108,apellido108,nombre108.apellido108@python.com,2019-01-14,False,39
110,nombre109,apellido109,nombre109.apellido109@python.com,2019-04-29,True,1
111,nombre110,apellido110,nombre110.apellido110@python.com,2019-07-17,True,70
112,nombre111,apellido111,nombre111.apellido111@python.com,2019-10-31,True,168
113,nombre112,apellido112,nombre112.apellido112@python.com,2019-04-08,True,78
114,nombre113,apellido113,nombre113.apellido113@python.com,2019-06-21,True,137
115,nombre114,apellido114,nombre114.apellido114@python.com,2019-10-22,False,37
116,nombre115,apellido115,nombre115.apellido115@python.com,2019-02-24,True,165
117,nombre116,apellido116,nombre116.apellido116@python.com,2019-09-08,False,35
118,nombre117,apellido117,nombre117.apellido117@python.com,2019-07-20,True,182
119,nombre118,apellido118,nombre118.apellido118@python.com,2019-10-14,True,164
120,nombre119,apellido119,nombre119.apellido119@python.com,2019-06-21,True,108
121,nombre120,apellido120,nombre120.apellido120@python.com,2019-01-29,False,157
122,nombre121,apellido121,nombre121.apellido121@python.com,2019-03-10,False,91
123,nombre122,apellido122,nombre122.apellido122@python.com,2019-11-13,False,114
124,nombre123,apellido123,nombre123.apellido123@python.com,2019-05-14,True,107
125,nombre124,apellido124,nombre124.apellido124@python.com,2019-06-18,True,52
126,nombre125,apellido125,nombre125.apellido125@python.com,2019-09-20,False,88
127,nombre126,apellido126,nombre126.apellido126@python.com,2019-10-04,True,6
128,nombre127,apellido127,nombre127.apellido127@python.com,2019-09-03,False,10
129,nombre128,apellido128,nombre128.apellido128@python.com,2019-08-28,True,111
130,nombre129,apellido129,nombre129.apellido129@python.com,2019-03-28,False,72
131,nombre130,apellido130,nombre130.apellido130@python.com,2019-01-27,False,80
132,nombre131,apellido131,nombre131.apellido131@python.com,2019-08-20,True,124
133,nombre132,apellido132,nombre132.apellido132@python.com,2019-08-26,False,66
134,nombre133,apellido133,nombre133.apellido133@python.com,2019-10-28,True,117
135,nombre134,apellido134,nombre134.apellido134@python.com,2019-02-12,False,84
136,nombre135,apellido135,nombre135.apellido135@python.com,2019-12-26,True,101
137,nombre136,apellido136,nombre136.apellido136@python.com,2019-03-04,False,15
138,nombre137,apellido137,nombre137.apellido137@python.com,2019-08-18,True,62
139,nombre138,apellido138,nombre138.apellido138@python.com,2019-07-30,False,69
140,nombre139,apellido139,nombre139.apellido139@python.com,2019-06-20,False,16
141,nombre140,apellido140,nombre140.apellido140@python.com,2019-11-04,True,168
142,nombre141,apellido141,nombre141.apellido141@python.com,2019-03-09,True,26
143,nombre142,apellido142,nombre142.apellido142@python.com,2019-01-21,True,193
144,nombre143,apellido143,nombre143.apellido143@python.com,2019-10-13,False,136
145,nombre144,apellido144,nombre144.apellido144@python.com,2019-03-11,False,133
146,nombre145,apellido145,nombre145.apellido145@python.com,2019-11-23,True,107
147,nombre146,apellido146,nombre146.apellido146@python.com,2019-06-01,True,100
148,nombre147,apellido147,nombre147.apellido147@python.com,2019-05-22,True,200
149,nombre148,apellido148,nombre148.apellido148@python.com,2019-03-21,True,77
150,nombre149,apellido149,nombre149.apellido149@python.com,2019-08-16,True,33
151,nombre150,apellido150,nombre150.apellido150@python.com,2019-05-07,False,142
152,nombre151,apellido151,nombre151.apellido151@python.com,2019-10-17,True,98
153,nombre152,apellido152,nombre152.apellido152@python.com,2019-07-07,True,50
154,nombre153,apellido153,nombre153.apellido153@python.com,2019-09-08,True,170
155,nombre154,apellido154,nombre154.apellido154@python.com,2019-06-10,True,73
156,nombre155,apellido155,nombre155.apellido155@python.com,2019-03-22,True,121
157,nombre156,apellido156,nombre156.apellido156@python.com,2019-12-17,False,102
158,nombre157,apellido157,nombre157.apellido157@python.com,2019-12-06,True,39
159,nombre158,apellido158,nombre158.apellido158@python.com,2019-04-01,True,185
160,nombre159,apellido159,nombre159.apellido159@python.com,2019-08-20,True,37
161,nombre160,apellido160,nombre160.apellido160@python.com,2019-10-01,True,65
162,nombre161,apellido161,nombre161.apellido161@python.com,2019-10-09,True,74
163,nombre162,apellido162,nombre162.apellido162@python.com,2019-01-21,False,119
164,nombre163,apellido163,nombre163.apellido163@python.com,2019-05-22,True,41
165,nombre164,apellido164,nombre164.apellido164@python.com,2019-02-23,True,156
166,nombre165,apellido165,nombre165.apellido165@python.com,2019-04-12,True,166
167,nombre166,apellido166,nombre166.apellido166@python.com,2019-02-01,True,122
168,nombre167,apellido167,nombre167.apellido167@python.com,2019-04-20,False,180
169,nombre168,apellido168,nombre168.apellido168@python.com,2019-09-10,True,180
170,nombre169,apellido169,nombre169.apellido169@python.com,2019-08-16,False,129
171,nombre170,apellido170,nombre170.apellido170@python.com,2019-04-01,True,81
172,nombre171,apellido171,nombre171.apellido171@python.com,2019-05-29,True,15
173,nombre172,apellido172,nombre172.apellido172@python.com,2019-08-27,True,140
174,nombre173,apellido173,nombre173.apellido173@python.com,2019-03-29,False,95
175,nombre174,apellido174,nombre174.apellido174@python.com,2019-01-04,True,147
176,nombre175,apellido175,nombre175.apellido175@python.com,2019-03-24,False,74
177,nombre176,apellido176,nombre176.apellido176@python.com,2019-07-20,True,86
178,nombre177,apellido177,nombre177.apellido177@python.com,2019-09-29,True,117
179,nombre178,apellido178,nombre178.apellido178@python.com,2019-12-17,True,43
180,nombre179,apellido179,nombre179.apellido179@python.com,2019-08-21,True,170
181,nombre180,apellido180,nombre180.apellido180@python.com,2019-01-27,False,27
182,nombre181,apellido181,nombre181.apellido181@python.com,2019-08-11,False,8
183,nombre182,apellido182,nombre182.apellido182@python.com,2019-01-25,False,89
184,nombre183,apellido183,nombre183.apellido183@python.com,2019-04-23,True,147
185,nombre184,apellido184,nombre184.apellido184@python.com,2019-07-05,True,24
186,nombre185,apellido185,nombre185.apellido185@python.com,2019-09-29,True,189
187,nombre186,apellido186,nombre186.apellido186@python.com,2019-09-05,True,86
188,nombre187,apellido187,nombre187.apellido187@python.com,2019-03-02,True,124
189,nombre188,apellido188,nombre188.apellido188@python.com,2019-01-19,False,78
190,nombre189,apellido189,nombre189.apellido189@python.com,2019-05-15,True,87
191,nombre190,apellido190,nombre190.apellido190@python.com,2019-06-10,True,163
192,nombre191,apellido191,nombre191.apellido191@python.com,2019-07-11,True,17
193,nombre192,apellido192,nombre192.apellido192@python.com,2019-04-27,True,160
194,nombre193,apellido193,nombre193.apellido193@python.com,2019-04-03,True,84
195,nombre194,apellido194,nombre194.apellido194@python.com,2019-06-13,True,149
196,nombre195,apellido195,nombre195.apellido195@python.com,2019-11-23,True,155
197,nombre196,apellido196,nombre196.apellido196@python.com,2019-01-22,False,42
198,nombre197,apellido197,nombre197.apellido197@python.com,2019-04-06,True,58
199,nombre198,apellido198,nombre198.apellido198@python.com,2019-10-13,True,119
200,nombre199,apellido199,nombre199.apellido199@python.com,2019-06-01,True,85
